,club_name,long_name,player_face_url,club_logo_url,nation_flag_url
92,Real Sociedad,Mikel Oyarzabal Ugarte,https://cdn.sofifa.net/players/230/142/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
1279,PSV,Armindo Tué Na Bangna,https://cdn.sofifa.net/players/211/368/22_120.png,https://cdn.sofifa.net/teams/247/60.png,https://cdn.sofifa.net/flags/pt.png
7591,Tigres U.A.N.L.,Diego Antonio Reyes Rosales,https://cdn.sofifa.net/players/192/012/22_120.png,https://cdn.sofifa.net/teams/1970/60.png,https://cdn.sofifa.net/flags/mx.png
995,Real Sociedad,Joseba Zaldúa Bengoetxea,https://cdn.sofifa.net/players/220/132/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
913,Real Betis Balompié,Willian José da Silva,https://cdn.sofifa.net/players/195/093/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/br.png
233,Real Sociedad,Cristian Portugués Manzanera,https://cdn.sofifa.net/players/205/070/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
332,Real Sociedad,Adnan Januzaj,https://cdn.sofifa.net/players/208/330/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/be.png
1652,Rayo Vallecano,Kévin Manuel Rodrigues,https://cdn.sofifa.net/players/209/289/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/pt.png
636,Real Sociedad,Igor Zubeldía Elorza,https://cdn.sofifa.net/players/233/738/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
4352,CD Leganés,Jon Bautista Orgilles,https://cdn.sofifa.net/players/233/231/22_120.png,https://cdn.sofifa.net/teams/100888/60.png,https://cdn.sofifa.net/flags/es.png
272,Real Sociedad,Alexander Isak,https://cdn.sofifa.net/players/233/731/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/se.png
363,Real Sociedad,Alejandro Remiro Gargallo,https://cdn.sofifa.net/players/227/127/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
185,Real Sociedad,Mikel Merino Zazón,https://cdn.sofifa.net/players/225/193/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
1422,Real Sociedad,Ander Guevara Lajo,https://cdn.sofifa.net/players/240/458/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
2210,Rayo Vallecano,Martín Merquelanz Castellanos,https://cdn.sofifa.net/players/225/562/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/es.png
1105,Real Sociedad,Andoni Gorosabel Espinosa,https://cdn.sofifa.net/players/241/049/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
2406,Real Sociedad,Martín Zubimendi Ibáñez,https://cdn.sofifa.net/players/248/148/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
2399,Real Sociedad,Ander Barrenetxea Muguruza,https://cdn.sofifa.net/players/246/672/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
3734,CD Tondela,Modibo Sagnan,https://cdn.sofifa.net/players/241/708/22_120.png,https://cdn.sofifa.net/teams/112516/60.png,https://cdn.sofifa.net/flags/fr.png
8493,Real Sociedad,Robert Navarro Muñoz,https://cdn.sofifa.net/players/253/130/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
6536,Real Zaragoza,Javier Ros Añón,https://cdn.sofifa.net/players/194/329/22_120.png,https://cdn.sofifa.net/teams/244/60.png,https://cdn.sofifa.net/flags/es.png
710,SL Benfica,Haris Seferović,https://cdn.sofifa.net/players/193/408/22_120.png,https://cdn.sofifa.net/teams/234/60.png,https://cdn.sofifa.net/flags/ch.png
5811,Real Oviedo,Marco Sangalli Fuentes,https://cdn.sofifa.net/players/216/376/22_120.png,https://cdn.sofifa.net/teams/110827/60.png,https://cdn.sofifa.net/flags/es.png
2400,Real Sociedad,Aihen Muñoz Capellán,https://cdn.sofifa.net/players/246/748/22_120.png,https://cdn.sofifa.net/teams/457/60.png,https://cdn.sofifa.net/flags/es.png
6243,Real Sociedad B,Luca Sangalli Fuentes,https://cdn.sofifa.net/players/245/520/22_120.png,https://cdn.sofifa.net/teams/110711/60.png,https://cdn.sofifa.net/flags/es.png
254,Arsenal,Martin Ødegaard,https://cdn.sofifa.net/players/222/665/22_120.png,https://cdn.sofifa.net/teams/1/60.png,https://cdn.sofifa.net/flags/no.png
866,Levante Unión Deportiva,Roberto Soldado Rillo,https://cdn.sofifa.net/players/146/758/22_120.png,https://cdn.sofifa.net/teams/1853/60.png,https://cdn.sofifa.net/flags/es.png
682,Manchester United,Juan Manuel Mata García,https://cdn.sofifa.net/players/178/088/22_120.png,https://cdn.sofifa.net/teams/11/60.png,https://cdn.sofifa.net/flags/es.png
3183,CD Tenerife,Miguel Alfonso Herrero Javaloyas,https://cdn.sofifa.net/players/190/535/22_120.png,https://cdn.sofifa.net/teams/260/60.png,https://cdn.sofifa.net/flags/es.png
886,Elche CF,Pablo Daniel Piatti,https://cdn.sofifa.net/players/183/899/22_120.png,https://cdn.sofifa.net/teams/468/60.png,https://cdn.sofifa.net/flags/ar.png
672,Real Betis Balompié,José Andrés Guardado Hernández,https://cdn.sofifa.net/players/171/897/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/mx.png
284,Real Betis Balompié,Joaquín Sánchez Rodríguez,https://cdn.sofifa.net/players/045/186/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
2441,Yukatel Kayserispor,Manuel Henrique Tavares Fernandes,https://cdn.sofifa.net/players/157/960/22_120.png,https://cdn.sofifa.net/teams/101020/60.png,https://cdn.sofifa.net/flags/pt.png
522,Granada CF,Ángel Montoro Sánchez,https://cdn.sofifa.net/players/186/682/22_120.png,https://cdn.sofifa.net/teams/110832/60.png,https://cdn.sofifa.net/flags/es.png
5555,Málaga CF,David Rodríguez Lombán,https://cdn.sofifa.net/players/189/701/22_120.png,https://cdn.sofifa.net/teams/573/60.png,https://cdn.sofifa.net/flags/es.png
53,Villarreal CF,Daniel Parejo Muñoz,https://cdn.sofifa.net/players/189/513/22_120.png,https://cdn.sofifa.net/teams/483/60.png,https://cdn.sofifa.net/flags/es.png
3115,Rayo Vallecano,Mario Suárez Mata,https://cdn.sofifa.net/players/171/018/22_120.png,https://cdn.sofifa.net/teams/480/60.png,https://cdn.sofifa.net/flags/es.png
2457,Elche CF,Antonio Barragán Fernández,https://cdn.sofifa.net/players/169/426/22_120.png,https://cdn.sofifa.net/teams/468/60.png,https://cdn.sofifa.net/flags/es.png
151,Real Betis Balompié,Sergio Canales Madrazo,https://cdn.sofifa.net/players/190/286/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
711,Real Betis Balompié,Víctor Ruíz Torre,https://cdn.sofifa.net/players/193/469/22_120.png,https://cdn.sofifa.net/teams/449/60.png,https://cdn.sofifa.net/flags/es.png
411,Crystal Palace,Vicente Guaita Panadero,https://cdn.sofifa.net/players/189/690/22_120.png,https://cdn.sofifa.net/teams/1799/60.png,https://cdn.sofifa.net/flags/es.png
