,x,y,player_name,team,position,foot,goals,agg_position
2465,4.810009,6.2188215,Daniel Nieto Vela,Eibar,Right Center Forward,Left Foot,0.0,Striker
2466,8.751867,3.5901356,Federico Piovaccari,Eibar,Left Center Forward,Right Foot,0.0,Striker
2467,8.843746,8.440347,Borja Ekiza Imaz,Athletic Club,Right Center Back,Right Foot,0.0,Center Back
2468,3.5631301,3.4399698,Manuel Castellano Castro,Eibar,Left Center Back,Right Foot,0.0,Center Back
2469,-1.4233063,7.8987355,Xabier Iruretagoiena Aranzamendi,Eibar,Goalkeeper,Right Foot,0.0,Goalkeeper
2470,8.794852,8.670939,Raúl Albentosa Redal,Deportivo La Coruna,Left Center Back,Right Foot,0.0,Center Back
2471,3.818343,8.551246,Abraham Minero Fernández,Real Zaragoza,Left Back,Left Foot,0.0,Left Back
2472,6.4385877,2.3796568,Javier Lara Grande,Eibar,Left Center Midfield,Right Foot,0.0,Center Midfield
2473,8.9356165,2.6337848,Saúl Berjón Pérez,Eibar,Left Center Forward,Right Foot,0.0,Striker
2474,9.222011,7.130768,Daniel García Carrillo,Eibar,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2475,9.2613125,4.35929,Jon Errasti Zabalete,Eibar,Center Defensive Midfield,Right Foot,0.0,Defensive Midfield
2476,3.0981739,3.1442182,Eneko Bóveda Altube,Athletic Club,Right Back,Right Foot,0.0,Right Back
2477,3.5285554,3.3034277,Ander Capa Rodríguez,Eibar,Right Back,Right Foot,0.0,Right Back
2478,7.2094164,3.9430282,Lévy Clément Madinda,Celta Vigo,Left Defensive Midfield,Right Foot,0.0,Defensive Midfield
2479,10.129545,2.2145786,Charles Días Barbosa de Oliveira,Eibar,Center Forward,Right Foot,0.0,Striker
2480,-2.0181866,8.231381,Sergio Álvarez Conde,Celta Vigo,Goalkeeper,Right Foot,0.0,Goalkeeper
2481,9.268715,7.9541035,Gustavo Daniel Cabral Cáceres,Celta Vigo,Right Center Back,Right Foot,0.0,Center Back
2482,8.908916,8.491005,Sergi Gómez Solà,Celta Vigo,Left Center Back,Right Foot,0.0,Center Back
2483,3.4246802,2.7490945,Hugo Mallo Novegil,Celta Vigo,Right Back,Right Foot,0.0,Right Back
2484,8.955256,6.3654647,Nemanja Radoja,Celta Vigo,Center Defensive Midfield,Right Foot,0.125,Defensive Midfield
2485,7.781505,2.1300619,Manuel Agudo Durán,Celta Vigo,Left Wing,Right Foot,0.0769230769230769,Left Wing
2486,3.4400165,6.8542786,Pedro Pablo Hernández,Celta Vigo,Left Center Midfield,Left Foot,0.0,Center Midfield
2487,3.4290617,3.1582985,Jonathan Castro Otto,Celta Vigo,Left Back,Right Foot,0.125,Left Back
2488,10.157878,3.235679,Joaquín Oscar Larrivey,Celta Vigo,Center Forward,Right Foot,0.25,Striker
2489,6.6735005,2.3789833,Michael Krohn-Dehli,Celta Vigo,Left Wing,Right Foot,0.1666666666666666,Left Wing
2490,6.582534,5.245322,Borja Viguera Manzanares,Athletic Club,Left Center Forward,Right Foot,0.0,Striker
2491,6.483405,2.8781612,Ibai Gómez Pérez,Athletic Club,Left Wing,Right Foot,0.2,Left Wing
2492,7.1483088,2.9090464,Unai López Cabrera,Athletic Club,Center Attacking Midfield,Right Foot,0.2,Attacking Midfield
2493,8.987761,6.3321023,Mikel Rico Moreno,Athletic Club,Left Defensive Midfield,Right Foot,0.1,Defensive Midfield
2494,6.2190814,1.9792079,Beñat Etxebarria Urkiaga,Athletic Club,Left Center Midfield,Right Foot,0.0,Center Midfield
2495,5.345118,8.522965,Aymeric Laporte,Athletic Club,Left Center Back,Left Foot,0.0714285714285714,Center Back
2496,3.3140428,9.18661,Mikel Balenziaga Oruesagasti,Athletic Club,Left Back,Left Foot,0.0,Left Back
2497,7.658377,2.1170776,Iker Muniain Goñi,Athletic Club,Left Wing,Right Foot,0.0714285714285714,Left Wing
2498,9.664557,2.6791334,Álvaro García Vázquez,Espanyol,Center Forward,Right Foot,0.3333333333333333,Striker
2499,3.017721,6.4528217,Pablo Sarabia García,Getafe,Right Wing,Left Foot,0.1333333333333333,Right Wing
2500,8.209153,2.7430165,Jorge Sammir Cruz Campos,Getafe,Center Forward,Right Foot,0.0,Striker
2501,8.881152,8.3921795,Edinaldo Gomes Pereira,Espanyol,Right Center Back,Right Foot,0.0,Center Back
2502,3.670985,6.2975545,Abdoul Karim Yoda,Getafe,Right Midfield,Left Foot,0.0,Right Wing
2503,7.2048364,4.547717,José Rodríguez Martínez,Deportivo La Coruna,Center Forward,Not Specified,0.0,Striker
2504,10.366643,2.7249591,Oriol Riera Magem,Deportivo La Coruna,Center Forward,Right Foot,0.0,Striker
2505,-2.1864305,8.101948,Jordi Masip López,Real Valladolid,Goalkeeper,Right Foot,0.0,Goalkeeper
2506,8.296629,6.70312,Celso Borges Mora,Deportivo La Coruna,Right Center Midfield,Right Foot,0.0,Center Midfield
2507,7.8553753,2.896888,Ivan Ricardo Neves Abreu Cavaleiro,Deportivo La Coruna,Left Wing,Right Foot,0.0,Left Wing
2508,-1.485467,7.8243732,Fabricio Martín Agosto Ramírez,Deportivo La Coruna,Goalkeeper,Right Foot,0.0,Goalkeeper
2509,3.8749623,6.6058874,Diogo Ferreira Salomão,Deportivo La Coruna,Center Forward,Left Foot,0.3333333333333333,Striker
2510,5.3440733,8.613773,Thomas Vermaelen,Barcelona,Left Center Back,Left Foot,0.025,Center Back
2511,8.837285,8.206365,Sidnei Rechel da Silva Júnior,Deportivo La Coruna,Left Center Back,Right Foot,0.0,Center Back
2512,2.848691,6.322447,Lucas Pérez Martínez,Deportivo La Coruna,Center Forward,Left Foot,0.3333333333333333,Striker
2513,6.7023478,6.0424757,Lucas Silva Borges,Real Madrid,Right Defensive Midfield,Right Foot,0.0,Defensive Midfield
2514,8.4131,2.2566068,Jesé Rodríguez Ruiz,Real Madrid,Center Forward,Right Foot,0.2,Striker
2515,9.743023,8.399548,Raphaël Varane,Real Madrid,Right Center Back,Right Foot,0.0384615384615384,Center Back
2516,7.59832,2.369057,Francisco Román Alarcón Suárez,Real Madrid,Center Attacking Midfield,Right Foot,0.05,Attacking Midfield
2517,2.881649,5.903654,Gareth Frank Bale,Real Madrid,Right Wing,Left Foot,0.2777777777777778,Right Wing
2518,3.4827976,2.9280398,Daniel Carvajal Ramos,Real Madrid,Right Back,Right Foot,0.0,Right Back
2519,6.4944286,1.8570937,Luka Modrić,Real Madrid,Right Center Midfield,Right Foot,0.1935483870967742,Center Midfield
2520,6.3023996,1.9920349,Toni Kroos,Real Madrid,Left Center Midfield,Right Foot,0.0869565217391304,Center Midfield
